,北京市,天津市,兴安盟,巢湖市,定安县,屯昌县,澄迈县,临高县,海东市,香港特别行政区,澳门特别行政区,昌都市,山南市,日喀则市,那曲市,林芝市,吐鲁番市,铜仁市,毕节市,广西壮族自治区,内蒙古自治区,宁夏回族自治区,新疆维吾尔自治区,西藏自治区,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,张家口市,承德市,沧州市,廊坊市,衡水市,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市,临汾市,吕梁市,呼和浩特市,包头市,乌海市,赤峰市,通辽市,鄂尔多斯市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,沈阳市,大连市,鞍山市,抚顺市,本溪市,丹东市,锦州市,营口市,阜新市,辽阳市,盘锦市,铁岭市,朝阳市,葫芦岛市,长春市,吉林市,四平市,辽源市,通化市,白山市,松原市,白城市,哈尔滨市,齐齐哈尔市,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市,牡丹江市,黑河市,绥化市,上海市,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,浙江省,杭州市,宁波市,温州市,嘉兴市,湖州市,绍兴市,金华市,衢州市,舟山市,台州市,丽水市,合肥市,芜湖市,蚌埠市,淮南市,马鞍山市,淮北市,铜陵市,安庆市,黄山市,滁州市,阜阳市,宿州市,六安市,亳州市,池州市,宣城市,福州市,厦门市,莆田市,三明市,泉州市,漳州市,南平市,龙岩市,宁德市,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市,威海市,日照市,临沂市,德州市,聊城市,滨州市,菏泽市,郑州市,开封市,洛阳市,平顶山市,安阳市,鹤壁市,新乡市,焦作市,濮阳市,许昌市,漯河市,三门峡市,南阳市,商丘市,信阳市,周口市,驻马店市,武汉市,黄石市,十堰市,宜昌市,襄阳市,鄂州市,荆门市,孝感市,荆州市,黄冈市,咸宁市,随州市,仙桃市,潜江市,天门市,长沙市,株洲市,湘潭市,衡阳市,邵阳市,岳阳市,常德市,张家界市,益阳市,郴州市,永州市,怀化市,娄底市,广州市,韶关市,深圳市,珠海市,汕头市,佛山市,江门市,湛江市,茂名市,肇庆市,惠州市,梅州市,汕尾市,河源市,阳江市,清远市,东莞市,济源市,中山市,潮州市,揭阳市,云浮市,南宁市,柳州市,桂林市,梧州市,北海市,防城港市,钦州市,贵港市,玉林市,百色市,贺州市,河池市,来宾市,崇左市,海口市,三亚市,三沙市,五指山市,琼海市,儋州市,文昌市,万宁市,东方市,重庆市,成都市,自贡市,攀枝花市,泸州市,德阳市,绵阳市,广元市,遂宁市,内江市,乐山市,南充市,眉山市,宜宾市,广安市,达州市,雅安市,巴中市,资阳市,贵阳市,六盘水市,遵义市,安顺市,昆明市,曲靖市,玉溪市,保山市,昭通市,丽江市,临沧市,普洱市,拉萨市,西安市,铜川市,宝鸡市,咸阳市,渭南市,延安市,汉中市,榆林市,安康市,商洛市,兰州市,嘉峪关市,金昌市,白银市,天水市,武威市,张掖市,平凉市,酒泉市,庆阳市,定西市,陇南市,西宁市,银川市,石嘴山市,吴忠市,固原市,中卫市,乌鲁木齐市,克拉玛依市,石河子市,阿拉尔市,图木舒克市,五家渠市,北屯市,铁门关市,双河市,可克达拉市,昆玉市,恩施土家族苗族自治州,延边朝鲜族自治州,神农架林区,湘西土家族苗族自治州,大兴安岭地区,白沙黎族自治县,昌江黎族自治县,乐东黎族自治县,陵水黎族自治县,保亭黎族苗族自治县,琼中黎族苗族自治县,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,楚雄彝族自治州,红河哈尼族彝族自治州,文山壮族苗族自治州,西双版纳傣族自治州,大理白族自治州,德宏傣族景颇族自治州,怒江傈僳族自治州,迪庆藏族自治州,阿里地区,临夏回族自治州,甘南藏族自治州,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,昌吉回族自治州,博尔塔拉蒙古自治州,巴音郭楞蒙古自治州,哈密市,阿克苏地区,克孜勒苏柯尔克孜自治州,伊犁哈萨克自治州,喀什地区,和田地区,塔城地区,阿勒泰地区,锡林郭勒盟,阿拉善盟,安徽省,福建省,甘肃省,广东省,贵州省,海南省,河北省,黑龙江省,河南省,湖北省,湖南省,江苏省,江西省,吉林省,辽宁省,青海省,山东省,山西省,陕西省,四川省,云南省
北京市,,4.35,,,,,,,,,,,,,,,,,,,,,,,1.95,1.44,0.62,2.7,1.45,6.43,3.17,2.1,1.71,10.68,1.36,0.95,0.67,,0.27,,,0.3,0.79,0.32,0.82,0.31,0.6,0.33,,0.7,0.31,,,,0.27,0.82,0.53,0.21,,,,0.24,,,,,,0.28,0.28,0.76,0.3,0.21,,,,,,1.38,0.34,,,,,,,,0.23,,0.38,1.49,0.66,,0.37,,0.34,0.32,,,,0.22,,,,,0.5600000000000001,,0.22,,,,,,,,,0.59,0.34,,,,,,0.47,,,0.5,,,,,,0.23,0.25,,,,,,,,0.37,,,,,,,,,,,0.88,0.57,0.25,0.21,,0.42,0.4,0.52,0.55,,,0.41,0.88,0.71,0.25,0.89,1.27,0.25,0.42,0.25,0.6,,0.34,,0.5600000000000001,0.26,,,0.77,0.62,1.31,1.27,0.88,0.84,,,,0.22,,,0.21,,0.24,,,,,,0.59,,,,,,,,,,,,,0.59,,0.62,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,0.36,,,,,,,,0.9399999999999999,0.97,,,,,0.22,0.23,,,,,,,,,,,,,,,,0.34,,,,,,,,,1.21,,,,0.25,,,,,,0.25,,,,0.2,,,,,,,0.23,,0.22,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津市,12.45,,,,,,,,,,,,,,,,,,,,,,,,1.7,6.21,1.08,3.72,1.38,2.75,1,0.88,6.78,7.04,1.57,0.5600000000000001,0.51,,0.22,,0.19,0.28,0.62,0.3,0.43,0.23,0.28,0.18,,0.58,0.37,,0.19,,0.18,0.71,0.39,0.2,,,,0.33,,,,,,0.37,0.45,0.66,0.35,0.25,,0.34,,0.21,0.17,1.23,0.92,,,,0.2,,,,0.2,,0.58,0.72,0.26,,0.36,,0.23,0.26,,,,,,,,,0.27,,0.22,,,,,,,,,0.29,0.18,,,,,,0.43,,,1.04,0.26,,0.31,,,,,0.18,,,,,,,0.18,,,,,,,,,,,0.85,0.44,0.24,,0.18,0.26,0.38,0.62,0.5,,,0.34,3.27,0.9399999999999999,1.14,1.28,0.49,0.25,0.24,0.19,0.59,,0.34,,0.68,,,,0.83,0.5600000000000001,0.58,1.01,0.8100000000000001,0.33,,,,,,,,,0.42,,,,,,0.26,,,,,,,,,,,,,0.35,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,0.51,0.51,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,0.71,,,,0.17,,,,0.17,,0.21,,,,0.24,,,,,0.24,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兴安盟,2.57,0.75,,,,,,,,,,,,,,,,,,,,,,,0.15,0.15,0.24,,0.08,0.21,0.07000000000000001,0.19,0.18,0.21,0.09,0.04,,,,,,0.07000000000000001,,0.07000000000000001,,,3.31,0.29,,3.85,16.5,0.25,7.25,0.18,0.36,2.3,0.68,0.49,0.12,0.11,0.17,0.28,0.24,0.51,0.32,0.09,0.34,0.32,0.24,4.94,0.45,0.7,0.05,0.15,0.05,1.06,21.42,1.64,16.43,,,0.07000000000000001,1.02,0.11,0.09,0.09,0.07000000000000001,0.09,0.26,0.31,0.05,,0.12,,,0.08,,,,0.09,,,,,,,,,,,0.04,,,0.05,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.05,0.11,0.05,,,0.15,,0.09,0.04,0.07000000000000001,,,0.19,0.05,0.05,0.07000000000000001,0.08,,,,0.05,,0.07000000000000001,,0.05,,,,,0.09,,0.04,0.07000000000000001,,,0.07000000000000001,,,,,0.04,,0.04,,,,,,0.05,,,,,,,,,,,,,0.19,,0.22,,,,,,,,,,,,,,,,0.08,,,,0.14,,,,,,,,,,,,,,,0.15,,,,,,,,,0.09,,,,,,0.09,,,,,,,,,,0.04,,,,,,0.05,,,,,,,,,0.15,,,0.08,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,,,
巢湖市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
定安县,0.11,,,,,5.65,4.79,0.33,0.01,,,,,,,,,0.01,,,,,,,0.07000000000000001,,,0.03,,,,,,0.03,,0.17,,,0.01,,,,,,,,,0.03,,,,,,,,0.05,,0.01,0.03,,,,,,,,0.01,,,0.05,0.01,,,,,,,,,,,,,,,,,,,0.05,0.01,,,,,0.03,,,,0.05,,,,,,,,,,,,,,,,,,,,,0.03,,0.03,,,0.03,,,,,,,,0.03,0.07000000000000001,0.03,,0.01,0.07000000000000001,,0.07000000000000001,,,,,,0.03,0.07000000000000001,,0.03,0.05,,,0.01,0.03,,,,,,,,,0.03,,,,0.03,,,,,,,0.13,,,,,,,0.03,,,0.05,,,0.01,0.03,,,,0.09,,,,,,,0.05,0.01,,0.07000000000000001,,0.03,0.01,,,0.03,0.03,,,0.11,,0.15,0.07000000000000001,,0.03,,1.13,0.17,,0.05,,,,,,0.03,,,,,,0.11,,0.09,,0.07000000000000001,,0.13,0.07000000000000001,0.05,0.03,0.03,0.05,0.03,,60.29,3.51,,0.15,10.44,1.21,2.59,1.15,0.33,0.19,0.11,0.01,,0.05,,,,,,,,,0.03,0.07000000000000001,0.05,,,,0.05,,0.03,0.01,0.05,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.03,,,,,,,,,,,0.03,,,,,0.15,0.27,0.57,0.8100000000000001,0.15,0.79,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屯昌县,0.03,,,,8.08,,6.27,0.41,,,,,,,,,,0.06,,,,,,,0.03,,,,,,,,0.03,,0.12,,0.03,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,0.06,,,,,,,,,0.03,,,,,0.03,0.09,,0.03,,,0.03,,0.03,,,,,,,,,,,,,,,,,,0.03,,,,,0.03,,,,,,,,,0.12,,0.03,,0.15,,,,,0.03,,,0.06,0.06,0.03,,0.03,,0.03,0.09,,,,,,0.03,,,,,,,,,,,0.22,0.03,,,,,,0.03,,0.06,,,0.03,,,,,0.25,,,0.12,,,,0.03,0.03,0.19,0.03,,,,,0.09,0.06,0.06,0.06,0.06,,0.09,,0.09,,,,,0.25,0.03,0.12,0.03,0.09,0.06,,2.28,0.53,,,,0.03,,0.03,,0.03,,,0.03,0.03,0.06,0.06,,0.15,0.03,0.19,0.03,,0.06,0.53,0.22,,0.03,,0.03,51.64,2.75,,0.5,3.13,2.12,1.68,2.21,0.34,0.25,0.09,0.06,,,0.03,,,0.06,,,,,,0.15,0.19,,0.09,,0.15,,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.28,1.2,0.6,0.38,8.33,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澄迈县,0.5,0.21,,,1.87,1.75,,4.62,,,,,,,,,,0.06,,,,,,,0.04,,,,0.05,0.07000000000000001,,,,0.06,,0.05,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.22,0.04,,,,,,,,,0.04,,,,,0.05,,0.08,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.04,,,0.12,0.13,0.1,0.05,,,,,,,,0.04,,,,,,0.06,,,,0.31,0.06,,,0.06,,0.09,,,,,,0.11,,,0.08,0.17,0.14,,,,,,,,0.19,0.12,0.04,,,0.06,,0.24,0.04,0.04,0.15,0.07000000000000001,0.11,0.04,,0.07000000000000001,0.06,0.4,0.04,0.09,0.24,,0.28,0.05,0.05,0.05,,1.59,0.2,0.05,,,,,,,0.08,,,,,,0.31,0.04,0.17,0.06,0.17,,,0.06,0.67,0.06,,0.1,0.05,0.06,62.16,3.13,,0.29,1.13,4.22,1.5,1.25,0.71,0.68,0.17,,,0.05,,,,,,,,0.07000000000000001,,0.17,0.06,,0.05,,0.07000000000000001,,0.1,,0.04,,,,,,,,,0.1,,,0.06,,,,,,,0.06,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,0.33,0.48,0.57,0.44,0.19,0.46,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
临高县,0.25,,,,0.47,0.35,8.23,,,,,,,,,,,0.03,0.03,,,,,,0.03,,,,,,,0.05,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07000000000000001,,0.05,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,,,,,,,,,0.01,0.05,,,,,0.15,,,,,0.05,,0.01,,,,,0.05,,,,,,,,,0.05,0.03,0.03,,0.03,,,,0.07000000000000001,0.05,0.03,,,0.01,,,,0.15,,,,,,,,,,,,,,0.03,,,,0.01,0.03,,,,0.03,,0.09,0.01,,,,,,,0.03,0.03,,0.05,,,,0.01,,0.01,,0.19,,,,,,,0.19,,,,0.03,0.03,0.11,,0.03,,0.03,0.11,0.01,0.17,,0.03,0.03,,0.01,0.01,1.1,0.17,0.05,,0.01,,,0.13,,,,0.05,,0.03,,0.21,,0.07000000000000001,0.07000000000000001,0.11,,,0.09,0.37,0.05,0.07000000000000001,,,0.03,54.66,4.27,,0.11,1.28,15.78,1.38,0.75,1.16,0.73,0.23,,,0.07000000000000001,,,0.05,0.03,,,,0.07000000000000001,,0.15,0.05,,0.07000000000000001,,0.21,,,,,,,,,0.03,,,,0.03,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,0.39,0.87,0.49,0.73,0.13,0.23,,,,,,0.05,,,0.07000000000000001,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
海东市,0.21,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.05,,,,0.02,,,,,,,,,0.03,,,0.02,0.02,0.04,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,0.04,,0.03,,,,0.03,0.03,,,,,0.03,0.05,,0.03,,,0.05,,,0.03,,0.03,,,,,,,0.02,,,,,,0.02,,,,,,,,,,,,0.02,,,,,,,,,,,,0.05,,,,,,0.05,,,0.03,,,,,0.13,0.1,0.04,0.05,0.04,0.04,,0.05,,0.03,,0.02,0.02,0.1,0.07000000000000001,0.06,0.05,0.03,0.03,,0.05,,,,,,0.02,0.02,,,0.03,,0.03,0.03,,,,0.02,,,,,,,,,0.04,,0.12,,,0.03,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.07000000000000001,0.08,,,,,,,,0.26,0.26,0.03,,,,0.03,0.05,0.03,,,0.19,0.02,,,,,0.03,,0.03,,,,0.02,,,,,,,,0.09,0.45,,0.06,0.17,0.05,,0.06,0.1,,,8.85,0.02,,0.14,0.25,1.76,0.19,0.15,0.2,0.11,0.27,0.05,69.13,0.09,,0.03,,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.02,,,,,4.69,0.17,0.54,3.53,1.18,0.08,0.03,2.19,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,
香港特别行政区,2.15,0.29,,,,,,,,,,,,,,,,,,,,,,,0.07000000000000001,0.1,0.05,,,0.14,0.05,,,0.05,,0.14,,,,,,,,,,,,,,,,,,,,0.08,0.2,,,,,,,,,,,,,0.11,0.05,,,,,,,0.1,,,,,,,,,,,,2.42,0.36,0.16,0.07000000000000001,0.12,0.36,,,,,,,,,,0.51,0.57,0.33,0.18,0.05,0.24,0.16,,0.05,,,0.18,,,,,,,,,,,,,,,,1.19,0.72,0.13,,1.22,0.14,,0.13,0.06,0.16,,,,,,0.14,0.05,,,,0.17,0.25,0.07000000000000001,,,0.1,,,,,,,,,,,0.36,,,,,,,,,,,,,0.06,,,,0.21,,,0.21,,,,,,,,,,,,0.3,0.12,0.06,0.06,,,,,0.05,0.17,0.06,0.05,,6.66,0.21,42.98,1.93,0.41,2.75,2.38,0.38,0.19,0.5,3.32,0.22,1.78,0.32,0.2,0.47,5.76,,2.17,0.06,0.13,0.24,0.37,0.08,0.09,0.05,,0.05,,0.07000000000000001,0.21,0.1,,,,,0.17,0.15,,,,,0.07000000000000001,,,1.39,0.83,0.1,,0.13,0.11,0.07000000000000001,,,0.07000000000000001,,,,,,,,,,0.32,,0.09,,0.22,,,,,,,,,0.3,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
